name,sku,cas_number,molecular_formula,descript_table,categories
"
Striker bolt For FastPrep-24 5G",116005508,Not Found,Not Found,"
SKU ,
116005508 ,
Base Catalog Number ,
6005508 ,
Pack Size ,
1 Each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
Agarose molecular biology grade",11AGAH0100-CF,"
MFCD00081294 ",Not Found,"
SKU ,
11AGAH0100-CF ,
Base Catalog Number ,
AGAH0100 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
0.05-0.13 ,
Format ,
Powder ,
Gel Strength ,
≥ 2500 g/cm2 (1;5% gel) ,
Gel Temperature ,
37 ± 2 °C (1.5% gel) ,
Grade ,
Molecular Biology Grade ,
Melting Point ,
 88 °C ± 1.5 °C (1.5% gel) ,
Personal Protective Equipment ,
Eyeshields, Gloves, Respirator filter ,
pH ,
7,0(1,5% in solution)7,1(1,5% in gel) ,
RTECS Number ,
AW7950000 ,
Solubility ,
Soluble in water (1.5 g plus 100 mL). ,
Source ,
agar or agar-bearing marine algae ,
Storage ,
Store at room temperature ,
Typical Working Concentration ,
1.5% Gel ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose Low Melting Point, molecular biology grade, 50 g",11AGAL0050,"
MFCD00081294 ","
50 g ","
SKU ,
11AGAL0050 ,
Base Catalog Number ,
AGAL0050 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
≤0.12 ,
Format ,
Powder ,
Gel Strength ,
≥ 500 g/cm2 (1.5% gel) ,
Gel Temperature ,
26 °C ± 2 °C (1.5% gel) ,
Grade ,
Low Melting Point, Molecular Biology Grade ,
Melting Point ,
65,5 °C ± 2 °C (1.5% gel) ,
Pack Size ,
50 g ,
Personal Protective Equipment ,
Eyeshields, Gloves, Respirator filter ,
pH ,
6,7(1.5% in solution) 6,8(1,5% in gel) ,
RTECS Number ,
AW7950000 ,
Solubility ,
Soluble in water (15 mg/mL). ,
Source ,
agar or agar-bearing marine algae ,
Storage ,
Store at room temperature ,
Typical Working Concentration ,
1.5% Gel ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose high-resolution, molecular biology grade, 50 g",11AGAR0050,"
MFCD00081294 ","
50 g ","
SKU ,
11AGAR0050 ,
Base Catalog Number ,
AGAR0050 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
≤0.12 ,
Gel Strength ,
> 600 g/cm2 (1.5% gel) ,
Gel Temperature ,
35 ± 2 °C (3% gel) ,
Grade ,
Molecular Biology Grade ,
Melting Point ,
80 °C ± 2 °C (3% gel) ,
Pack Size ,
50 g ,
Personal Protective Equipment ,
Eyeshields, Gloves, Respirator filter ,
pH ,
6,5(1.5% in solution) 6,6(1,5% in gel) ,
RTECS Number ,
AW7950000 ,
Solubility ,
Soluble in water (15 mg/mL). ,
Source ,
agar or agar-bearing marine algae ,
Storage ,
Store at room temperature ,
Typical Working Concentration ,
3% Gel ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose, electrophoresis grade",02100267-CF,"
 9012-36-6 ","
232-731-8 ","
SKU ,
02100267-CF ,
Alternate Names ,
(1→4)-3,6-anhydro-α-L-galactopyranosyl-(1→3)-β-D-galactopyranan; 3,6-Anhydro-a-L-galacto-b-D-galactan; FastLane agarose; Indubiose A4; NuSieve GTG; Odigose; Seakem; Sepharose ,
Application Notes ,
Agarose is useful in separation of nucleic acids electrophoretically because agarose gels have larger pore sizes than cross linked acrylamide gels at low concentrations and in chromatographic separations by either beading the agarose or cross-linking it. Agarose gels are also used in immunoelectrophoresis (IEP) and double-diffusion Ouchterlony plates to demonstrate antibody-antigen reactions. ,
Base Catalog Number ,
100267 ,
CAS # ,
9012-36-6 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
0.11 - 0.17 ,
Gel Strength ,
≥2000 g/cm2 (1.5% gel) ,
Gel Temperature ,
35 - 37 °C ,
Grade ,
Electrophoresis grade ,
Personal Protective Equipment ,
Eyeshields, Gloves, respirator filter ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Basic agarose Premier",11AGAF0100-CF,Not Found,Not Found,"
SKU ,
11AGAF0100-CF ,
Base Catalog Number ,
AGAF0100 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
0.09 - 0.13 (Lit.) ,
Format ,
DNase ,
Gel Strength ,
≥ 2200 g/cm2 (1;5% gel) ,
Gel Temperature ,
36 °C ± 1.5 °C (1,5% gel) ,
Grade ,
Analytical Grade ,
Melting Point ,
88 °C ± 1.5 °C (1.5% gel) ,
Personal Protective Equipment ,
Eyeshields, Gloves, Respirator filter ,
pH ,
6,8(1.5% in solution) 7,0(1,5% in gel) ,
Solubility ,
Soluble in water (1.5 g plus 100 mL). ,
Source ,
agar or agar-bearing marine algae ,
Storage ,
Store at room temperature ,
Typical Working Concentration ,
1.5% Gel ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose multipurpose, molecular biology grade",11AGAP0100-CF,Not Found,Not Found,"
SKU ,
11AGAP0100-CF ,
 Base Catalog Number ,
AGAP0100 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
≤0.12 ,
Format ,
Powder ,
Gel Strength ,
≥ 3200 g/cm2 (1.5% gel); ≥1;880 g/cm2 (1% gel) ,
Gel Temperature ,
36 ± 1.5 °C (1.5% gel) ,
Grade ,
Molecular Biology Grade ,
Melting Point ,
88 °C ± 1.5 °C (1.5% gel) ,
Personal Protective Equipment ,
Respiratory protection: Breathing apparatus only if aerosol or dust is formed. Hand protection: Pvc or other plastic material gloves. Skin and body protection: Usual safety precautions while handling the product will provide adequate protection against this potential effect. Eye protection: Safety glasses with side-shields. Hygiene measures: Handle in accordance with good industrial hygiene and safety practice. ,
pH ,
6,8(1.5% in solution) 6,8(1,5% in gel) ,
RTECS Number ,
AW7950000  ,
Solubility ,
Soluble in water (1.5 g plus 100 mL). ,
Source ,
agar or agar-bearing marine algae ,
Storage ,
Store at room temperature ,
Typical Working Concentration ,
1.5% Gel ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Basic agarose Premier, sample, 10 g",11AGAFSAMP,"
232-731-8 ","
MFCD00081294 ","
SKU ,
11AGAFSAMP ,
Base Catalog Number ,
AGAFSAMP ,
CAS # ,
9012-36-6 ,
EC Number ,
232-731-8 ,
Grade ,
Analytical Grade ,
Pack Size ,
10 g ,
Personal Protective Equipment  ,
Eyeshields, Gloves, Respirator filter ,
Solubility ,
Soluble in water (1.5 g plus 100 mL). ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose, Broad Range, molecular biology reagent",02193983-CF,"
9012-36-6 ","
232-731-8 ","
SKU ,
02193983-CF ,
Alternate Names ,
3,6-Anhydro-α-L-galacto-β-D-galactan; Sepharose; FastLane agarose; Indubiose A4; NuSieve GTG; Odigose; Seakem ,
Application Notes ,
As a gelling agent, agarose is used: 1.) to separate nucleic acids electrophoretically because its gels have larger pore sizes than polyacrylamide gels at low concentrations. Unlike polyacrylamide, the consistency of the gels is more solid (but also less elastic); 2.) To demonstrate cross reaction in IEP (Immuno electrophoresis) and Ouchterlony (double diffusion) plates in which antibody-antigen precipitin lines are studied; 3.) to make gel plates or overlays for cells in tissue culture; 4.) To form a gel matrix (either beaded and/or crosslinked) which can be used in chromatographic separations. ,
Base Catalog Number ,
193983 ,
CAS # ,
9012-36-6 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
0.09 - 0.13 ,
Format ,
Powder ,
Gel Strength ,
≥600 g/cm2 (1.5% gel) ,
Gel Temperature ,
35 - 37 °C ,
Grade ,
Molecular Biology Grade ,
Personal Protective Equipment ,
Eyeshields, Gloves, respirator filter ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
"
Agarose, genetic technology grade",04800668-CF,"
9012-36-6 ","
232-731-8 ","
SKU ,
04800668-CF ,
Alternate Names ,
3,6-Anhydro-a-L-galacto-b-D-galactan; Sepharose ,
Application Notes ,
Agarose is used to separate nucleic acids electrophoretically because agarose gels have larger pore sizes than cross linked acrylamide gels at low concentrations. Agarose gels tend to be more solid, but less elastic, than cross-linked acrylamide gels. Agarose gels are also used in immunoelectrophoresis (IEP) and double-diffusion Ouchterlony plates to demonstrate antibody-antigen reactions. Used in chromatographic separations by either beading the agarose or cross-linking it. Also to make gel plates or overlays for cells in tissue culture. ,
Base Catalog Number ,
800668 ,
CAS # ,
9012-36-6 ,
EC Number ,
232-731-8 ,
Electroendosmosis ,
0.11 - 0.17 ,
Format ,
Powder ,
Gel Strength ,
> 2000 gm/cm² (1.5% gel) ,
Gel Temperature ,
35 - 37 °C ,
Grade ,
Genetic Technology Grade ,
Personal Protective Equipment ,
Eyeshields, Gloves, Respirator filter ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Electrophoresis,Agarose"
